Alpha,nH,Cost,Iterations,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Test Support,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Train Support
1e-05,25,28273.903868341407,5000,0.5082651818340004,0.41669915335441027,0.5082651818340004,0.42367228430216297,5747.0,0.5042630937880633,0.40624087845185225,0.5042630937880633,0.41770451952862186,22988.0
0.0001,25,56399.25083431677,5000,0.34052549156081435,0.11961856307629394,0.34052549156081435,0.1764884930409096,5747.0,0.33495736906211937,0.115593144425004,0.33495736906211937,0.17144436951899567,22988.0
1e-06,30,29624.138749906113,5000,0.5119192622237689,0.43315439704963377,0.5119192622237689,0.4294989633275659,5747.0,0.5081781799199583,0.4291556864892458,0.5081781799199583,0.425159320681152,22988.0
1e-05,30,28225.842324683552,5000,0.5079171741778319,0.40699229242528684,0.5079171741778319,0.42221117546584497,5747.0,0.5048721071863581,0.3985156121731545,0.5048721071863581,0.41729994988039315,22988.0
0.0001,30,55620.74124737984,5000,0.14477118496606925,0.02504517940717228,0.14477118496606925,0.040642298136669044,5747.0,0.13828954236993213,0.022691300451124326,0.13828954236993213,0.0372808630573339,22988.0
1e-06,100,28756.44196094538,5000,0.5080911780059161,0.4009790916677757,0.5080911780059161,0.43046485674551094,5747.0,0.5038280842178527,0.39319139859274815,0.5038280842178527,0.42474794792634424,22988.0
1e-05,100,30892.81330790343,5000,0.5065251435531581,0.4280424031400696,0.5065251435531581,0.42398394669452455,5747.0,0.49282234209152603,0.4101122472092089,0.49282234209152603,0.40966265549964537,22988.0
0.0001,100,224114.3675967231,5000,0.13015486340699495,0.0211995370741917,0.13015486340699495,0.034397019495352475,5747.0,0.13333043326953192,0.021419519056962277,0.13333043326953192,0.03529150167585286,22988.0
1e-06,"[20, 20]",31238.19814038527,5000,0.49956499042978947,0.3984642412907959,0.49956499042978947,0.4106604261051197,5747.0,0.494431877501305,0.38909683794482625,0.494431877501305,0.4050708425476657,22988.0
1e-05,"[20, 20]",28614.865683847973,5000,0.5014790325387158,0.41744420741370025,0.5014790325387158,0.4101217918979718,5747.0,0.49747694449277885,0.4082458740777367,0.49747694449277885,0.40566494526226565,22988.0
0.0001,"[20, 20]",45322.00134877852,5000,0.34052549156081435,0.11960267866940226,0.34052549156081435,0.17644376609374363,5747.0,0.3350878719331825,0.11565356431550955,0.3350878719331825,0.17147823580154015,22988.0
1e-06,"[5, 10]",35656.88223678367,5000,0.44875587262919786,0.2710634301367552,0.44875587262919786,0.30075692688696093,5747.0,0.44562380372368193,0.26208587175356923,0.44562380372368193,0.2973001072084481,22988.0
1e-05,"[5, 10]",28509.00777388656,5000,0.5073951626935792,0.42340795528897557,0.5073951626935792,0.4183534211149403,5747.0,0.5050461110144423,0.42669890994246834,0.5050461110144423,0.4155817339531138,22988.0
0.0001,"[5, 10]",45343.71457056394,5000,0.34069949538889854,0.1165322543671431,0.34069949538889854,0.17363696146357743,5747.0,0.3347833652340351,0.11454487003333537,0.3347833652340351,0.16868115309862014,22988.0
