Alpha,nH,Cost,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Test Support,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Train Support
1e-05,"[5, 10]",29033.17082370943,0.48268661910562033,0.10996891559265447,0.17502171156973595,0.12573448105735824,5747.0,0.4851226726987994,0.10495534927739643,0.16671487167479404,0.11988497250453531,22988.0
0.0001,"[5, 10]",45257.05548403471,0.3393074647642248,0.04373476310192722,0.09996009855081658,0.0602485727806204,5747.0,0.33661040542891946,0.045920695482439634,0.10604168105361333,0.06349141422010895,22988.0
1e-06,"[5, 15]",34319.768587122926,0.44997389942578736,0.06912938517028352,0.1022226465972083,0.06317423100365185,5747.0,0.4522359491908822,0.07147747306521798,0.10211432388425261,0.06332598859247997,22988.0
1e-05,"[5, 15]",30378.79658788814,0.4718983817643988,0.10505797689721504,0.16100180175597661,0.11488750236453216,5747.0,0.48116408560988344,0.11017605281683367,0.16848192015321828,0.12091122231863491,22988.0
0.0001,"[5, 15]",45308.44354909606,0.33774143031146686,0.04000814525827111,0.09276606870007031,0.0547233631542563,5747.0,0.3356968853314773,0.0438733911515626,0.1020328731385554,0.05998457932218417,22988.0
1e-06,"[10, 20]",30645.266894544246,0.4962589176961893,0.10886055836808035,0.16835812011279022,0.11692013480423706,5747.0,0.4997824952148947,0.11331531748419472,0.17132186315521608,0.11858576377286618,22988.0
1e-05,"[10, 20]",29021.243445548975,0.5004350095702106,0.11937945269993963,0.16980201282052163,0.12471752890850887,5747.0,0.5051331129284844,0.12251613213142609,0.17566773967766913,0.12834869984235525,22988.0
0.0001,"[10, 20]",45305.44985693921,0.33774143031146686,0.03967217640464036,0.09260686471997082,0.05424004399940141,5747.0,0.3357838872455194,0.04412435048284023,0.10243480967330446,0.06000985197029547,22988.0
1e-06,"[15, 5]",36483.80635164888,0.44405776927092394,0.04325170814435349,0.09985119047619048,0.058038885851830625,5747.0,0.4462328171219767,0.04359886590036079,0.09979066363336797,0.05853265643531817,22988.0
1e-05,"[15, 5]",29460.350527320694,0.5021750478510527,0.12105163442243658,0.1772700269407427,0.12793192866549777,5747.0,0.5053941186706108,0.12019696731440237,0.17843746905371918,0.12937989906858713,22988.0
0.0001,"[15, 5]",45316.197323791,0.34000348007656167,0.045460687561416725,0.10397999904832902,0.06103155423587785,5747.0,0.3368279102140247,0.046572110178977076,0.10683273438372916,0.062105988909458995,22988.0
1e-06,"[6, 10, 15]",33575.3769747555,0.4534539759874717,0.10263332789105803,0.10379312358924593,0.06668572536388395,5747.0,0.45441099704193494,0.09075921904774298,0.10313919678883461,0.066138088766034,22988.0
1e-05,"[6, 10, 15]",29655.586743229633,0.481642596137115,0.12127560451260473,0.1649259355807025,0.10934957034551958,5747.0,0.4832956325039151,0.12737514202144914,0.1636519576453883,0.10790424532935936,22988.0
0.0001,"[6, 10, 15]",45431.8593357978,0.3386114494518879,0.029690977063342356,0.09992029755579171,0.0455828359580757,5747.0,0.3353053767182878,0.029937711924453,0.09989951768488746,0.04592601619594409,22988.0
