Alpha  ,nH            ,Cost                ,Test Accuracy       ,Macro Test Precision ,Macro Test Recall   ,Macro Test F1-Score  ,Macro Test Support ,Weighted Test Accuracy ,Weighted Test Precision ,Weighted Test Recall ,Weighted Test F1-Score ,Weighted Test Support ,Train Accuracy      ,Macro Train Precision ,Macro Train Recall  ,Macro Train F1-Score ,Macro Train Support ,Weighted Train Accuracy ,Weighted Train Precision ,Weighted Train Recall ,Weighted Train F1-Score ,Weighted Train Support
0.0001 ,30            ,155953.57179931545  ,0.12319471028362625 ,0.01856631557643912  ,0.1                 ,0.030755281601688104 ,            5747.0 ,   0.12319471028362625 ,   0.01594896411040825  , 0.12319471028362625 ,  0.028005728283126332 ,               5747.0 ,0.11923612319471029 , 0.018829331295304425 ,0.1                 ,0.031004716903829704 ,            22988.0 ,    0.11923612319471029 ,    0.015185828663391016 ,  0.11923612319471029 ,    0.0266360089941997  ,               22988.0
1e-06  ,100           , 28535.071170080715 ,0.5140073081607796  ,0.14062830300011875  ,0.18283959091453478 ,0.15150957532945702  ,            5747.0 ,   0.5140073081607796  ,   0.43840504062217445  , 0.5140073081607796  ,  0.4595040756640602   ,               5747.0 ,0.5168783713241691  , 0.1405912955984495   ,0.1827810286892807  ,0.15058167076444273  ,            22988.0 ,    0.5168783713241691  ,    0.441989836838021    ,  0.5168783713241691  ,    0.4621687379689932  ,               22988.0
1e-05  ,100           , 27999.998086248856 ,0.5147033234731164  ,0.13119686217632134  ,0.18532451500215208 ,0.1402013985934003   ,            5747.0 ,   0.5147033234731164  ,   0.42675303298428224  , 0.5147033234731164  ,  0.4378629643827579   ,               5747.0 ,0.5134417957195059  , 0.13268423584213623  ,0.18839386775106387 ,0.14160705346795827  ,            22988.0 ,    0.5134417957195059  ,    0.4278140118429087   ,  0.5134417957195059  ,    0.43619303264934556 ,               22988.0
0.0001 ,100           ,233525.78606557762  ,0.3419175221854881  ,0.04301095401338154  ,0.09721649677709489 ,0.058455953497697076 ,            5747.0 ,   0.3419175221854881  ,   0.12077730262819894  , 0.3419175221854881  ,  0.1780509003468738   ,               5747.0 ,0.3348268661910562  , 0.04342784915512151  ,0.1015145048822436  ,0.05999263490269113  ,            22988.0 ,    0.3348268661910562  ,    0.11540881924292051  ,  0.3348268661910562  ,    0.17133482994745233 ,               22988.0
1e-06  ,"[5, 10]"     , 31478.56579783096  ,0.4929528449625892  ,0.0882974859892384   ,0.12105043063700478 ,0.08890561672204482  ,            5747.0 ,   0.4929528449625892  ,   0.3634427774463566   , 0.4929528449625892  ,  0.38759669715543105  ,               5747.0 ,0.4900817817991996  , 0.0857654681925808   ,0.12100299750525387 ,0.08889274953809664  ,            22988.0 ,    0.4900817817991996  ,    0.3541249329656944   ,  0.4900817817991996  ,    0.3840039799325159  ,               22988.0
1e-05  ,"[5, 10]"     , 28703.667649188294 ,0.4971289368366104  ,0.09887283483224504  ,0.17418399791217104 ,0.11234293848375017  ,            5747.0 ,   0.4971289368366104  ,   0.3857776470126491   , 0.4971289368366104  ,  0.4088493641635591   ,               5747.0 ,0.49621541673916825 , 0.10208470427303491  ,0.17423993388947254 ,0.11355011285366919  ,            22988.0 ,    0.49621541673916825 ,    0.3886754412576345   ,  0.49621541673916825 ,    0.40746642146744866 ,               22988.0
0.0001 ,"[5, 10]"     , 49379.11472712252  ,0.33165129632851925 ,0.016582564816425963 ,0.05                ,0.02490526590879394  ,            5747.0 ,   0.33165129632851925 ,   0.10999258235638727  , 0.33165129632851925 ,  0.16519727448115973  ,               5747.0 ,0.3236471202366452  , 0.01618235601183226  ,0.05                ,0.024451163402129616 ,            22988.0 ,    0.3236471202366452  ,    0.10474745843747349  ,  0.3236471202366452  ,    0.15827097243069807 ,               22988.0
1e-06  ,"[5, 15]"     , 41636.91412109157  ,0.3360013920306247  ,0.03147203133287135  ,0.05181773868262225 ,0.039022698253047716 ,            5747.0 ,   0.3360013920306247  ,   0.20672208616173574  , 0.3360013920306247  ,  0.25562161036463604  ,               5747.0 ,0.3277797111536454  , 0.030751906357935233 ,0.05160672494804373 ,0.03843589785833096  ,            22988.0 ,    0.3277797111536454  ,    0.1973149555940047   ,  0.3277797111536454  ,    0.24606908541922995 ,               22988.0
1e-05  ,"[5, 15]"     , 28446.969913166377 ,0.5018270401948843  ,0.09859518546848786  ,0.17475593595587555 ,0.1132807046751326   ,            5747.0 ,   0.5018270401948843  ,   0.3858713756729385   , 0.5018270401948843  ,  0.4126338839278293   ,               5747.0 ,0.503915086131895   , 0.1072056590389852   ,0.17597755501896176 ,0.11588435140363877  ,            22988.0 ,    0.503915086131895   ,    0.40002683950397244  ,  0.503915086131895   ,    0.41481678731224597 ,               22988.0
0.0001 ,"[5, 15]"     , 45202.961719964434 ,0.3419175221854881  ,0.029995666367492034 ,0.09989506820566632 ,0.04594258246470295  ,            5747.0 ,   0.3419175221854881  ,   0.1174966678816588   , 0.3419175221854881  ,  0.1748128713291723   ,               5747.0 ,0.33469636331999303 , 0.030099981638907935 ,0.09990591397849462 ,0.04613588209030217  ,            22988.0 ,    0.33469636331999303 ,    0.11245809237321265  ,  0.33469636331999303 ,    0.16829505489435687 ,               22988.0
1e-06  ,"[10, 20]"    , 31122.90945364627  ,0.4973029406646946  ,0.09259604805752443  ,0.15438795556332616 ,0.10648772466449011  ,            5747.0 ,   0.4973029406646946  ,   0.3565065460014222   , 0.4973029406646946  ,  0.395232600884344    ,               5747.0 ,0.49517139377066294 , 0.09284255601966374  ,0.154673698038792   ,0.10703950101762198  ,            22988.0 ,    0.49517139377066294 ,    0.3529510004787522   ,  0.49517139377066294 ,    0.3919441918985026  ,               22988.0
1e-05  ,"[10, 20]"    , 28736.55599768743  ,0.500783017226379   ,0.1091679941174167   ,0.17633678020090687 ,0.11513788463244001  ,            5747.0 ,   0.500783017226379   ,   0.40359283931485057  , 0.500783017226379   ,  0.41351730858681146  ,               5747.0 ,0.5000435009570211  , 0.10969235124191931  ,0.1761381413611178  ,0.11592001200581536  ,            22988.0 ,    0.5000435009570211  ,    0.4024214041516416   ,  0.5000435009570211  ,    0.4118046414899168  ,               22988.0
0.0001 ,"[10, 20]"    , 38137.558427004624 ,0.27701409431007484 ,0.08174203922757768  ,0.12407226969136727 ,0.07365511733899535  ,            5747.0 ,   0.27701409431007484 ,   0.3180039300656998   , 0.27701409431007484 ,  0.23357380988843138  ,               5747.0 ,0.28406124934748567 , 0.08441963878495512  ,0.12726539309421903 ,0.07784582487572755  ,            22988.0 ,    0.28406124934748567 ,    0.30910392612458076  ,  0.28406124934748567 ,    0.2364335021473456  ,               22988.0
1e-06  ,"[20, 80]"    , 28835.886771050657 ,0.5073951626935792  ,0.12836242610626242  ,0.17674896869579962 ,0.13805932432464108  ,            5747.0 ,   0.5073951626935792  ,   0.41087873024691063  , 0.5073951626935792  ,  0.4346168700769462   ,               5747.0 ,0.5112232469114321  , 0.13604631680377585  ,0.17998343753382007 ,0.14028815477559653  ,            22988.0 ,    0.5112232469114321  ,    0.42684538250492193  ,  0.5112232469114321  ,    0.43740584728793847 ,               22988.0
1e-05  ,"[20, 80]"    , 28154.254999266603 ,0.5046111014442318  ,0.12460117048902948  ,0.17692580203352545 ,0.13107053130823756  ,            5747.0 ,   0.5046111014442318  ,   0.4150429328308371   , 0.5046111014442318  ,  0.4251465000084719   ,               5747.0 ,0.5042630937880633  , 0.12339974382412386  ,0.17875890904951636 ,0.1311679323567593   ,            22988.0 ,    0.5042630937880633  ,    0.4117544653077111   ,  0.5042630937880633  ,    0.4223766046193106  ,               22988.0
0.0001 ,"[20, 80]"    , 45288.39374148012  ,0.3420915260135723  ,0.04340015234553653  ,0.09840697296757109 ,0.058476622187031244 ,            5747.0 ,   0.3420915260135723  ,   0.12085928254147839  , 0.3420915260135723  ,  0.17801973277432503  ,               5747.0 ,0.33460936140595093 , 0.04292811153000634  ,0.10038628770043609 ,0.05868469651172585  ,            22988.0 ,    0.33460936140595093 ,    0.11529363228973011  ,  0.33460936140595093 ,    0.17104639595809    ,               22988.0
